,mean,min,max,median,std,coefficient variation,skewness,kurt,signal_power,rms
acc_attr_x,0.02596084076554117,-10.740081247650098,16.661780103237554,0.0034797465662014058,0.3920346426494464,15.10099947031797,12.104603490073856,248.63810175555864,0.15436475679976944,0.392892805736844
acc_attr_y,-0.010880194270066361,-12.244906070921171,15.111373698354987,-0.005490223204947891,0.35719012770052866,-32.82938878060585,-3.229908272159962,240.42117746075124,0.127702859225957,0.35735536826240205
acc_attr_z,9.654835526098243,-5.973733042573418,23.35218060366379,9.676731986593065,0.2949052657587857,0.030544825436085308,-12.34512136874694,436.1057100839958,93.30281794269753,9.659338380173745
gyro_attr_x,0.003515067251744384,-3.5369098,1.9819523,0.02107485,0.12522988029341364,35.62659583007044,-0.5515934918756489,24.06099222150247,0.015694840913545567,0.12527905217371965
gyro_attr_y,0.00915062581255447,-2.1564076,3.0072896,0.03067607,0.11470978317016195,12.535730945612757,1.0235800647486506,52.33133440740512,0.013242036673597529,0.11507404865388864
gyro_attr_z,-0.0066903837966451295,-1.3712729,1.9350352,-0.003970624,0.07588237426965962,-11.342006165283161,0.48707636575365076,65.71987071036712,0.005802882116946362,0.07617665073332092
mag_attr_x,-0.41585614515066543,-42.974,41.557,-0.674,14.998046086050927,-36.06546701532355,0.4480920345299218,0.12356601771289677,225.1137819484823,15.003792252243509
mag_attr_y,-32.2370455843675,-49.717,22.599,-34.657,16.01264571368697,-0.4967156705405994,2.0867039120313176,3.814224237473189,1295.6313143347368,35.99487900152933
mag_attr_z,-10.92849654769518,-36.763,36.399,-11.299,16.212932312515687,-1.4835464550643056,0.9237935018105845,-0.0003075029862484868,382.29057902030763,19.55225253059881
label,5.0,5.0,5.0,5.0,0.0,0.0,,,25.0,5.0
