,acc_attr_x,acc_attr_y,acc_attr_z,gyro_attr_x,gyro_attr_y,gyro_attr_z,mag_attr_x,mag_attr_y,mag_attr_z,label
acc_attr_x,1.0,0.006507205629237541,-0.11260276444355567,-0.05054951388698079,-0.024824695462222924,-0.032734953369967984,-0.04875597738484714,0.057426250844072164,0.12946068230385824,
acc_attr_y,0.006507205629237541,1.0,0.21341930927482597,0.1684992185872622,-0.060708806595383545,0.05592628003080448,-0.11403960464089387,-0.0829027076763725,0.05213800891837831,
acc_attr_z,-0.11260276444355567,0.21341930927482597,1.0,0.08067624426079514,0.04478003177015087,-0.03574173937830191,-0.05614468786247409,-0.07720379065345194,-0.05601294036887155,
gyro_attr_x,-0.05054951388698079,0.1684992185872622,0.08067624426079514,1.0,0.09815661765290619,0.14275595728711946,0.00023022974728476327,0.02194166048663717,0.01611648492393708,
gyro_attr_y,-0.024824695462222924,-0.060708806595383545,0.04478003177015087,0.09815661765290619,1.0,-0.34096576549613616,-0.03320260448645386,0.0012396777141673817,-0.012672293714135948,
gyro_attr_z,-0.032734953369967984,0.05592628003080448,-0.03574173937830191,0.14275595728711946,-0.34096576549613616,1.0,-0.002121719011431623,0.007278359562838097,0.015070413229097126,
mag_attr_x,-0.04875597738484714,-0.11403960464089387,-0.05614468786247409,0.00023022974728476327,-0.03320260448645386,-0.002121719011431623,1.0,0.2551208167154829,-0.13120629390093058,
mag_attr_y,0.057426250844072164,-0.0829027076763725,-0.07720379065345194,0.02194166048663717,0.0012396777141673817,0.007278359562838097,0.2551208167154829,1.0,0.483768578733711,
mag_attr_z,0.12946068230385824,0.05213800891837831,-0.05601294036887155,0.01611648492393708,-0.012672293714135948,0.015070413229097126,-0.13120629390093058,0.483768578733711,1.0,
label,,,,,,,,,,
