,mean,min,max,median,std,coefficient variation,skewness,kurt,signal_power,rms
acc_attr_x,-2.6908801223361585,-15.652692,14.203003,-2.268506,3.3303136208920665,-1.2376298718208105,0.340434601502445,0.0064054364655699025,18.33180163898776,4.281565325787726
acc_attr_y,0.9700137972110996,-6.0022635,19.608511,0.4997896,2.4715062317876506,2.547908327586178,1.565968001067509,2.560813849543033,7.049257149316675,2.6550437189087255
acc_attr_z,7.713200729459203,-16.40507,19.608511,9.015965,2.3547509495984595,0.30528843111847276,-2.2626810147031136,7.833280377541746,65.03830602524968,8.064633037234223
gyro_attr_x,0.011861876865166213,-4.7580166,3.9550602,0.01863139,0.11829197530973738,9.972450115134443,-2.5006039641338162,139.20621881704378,0.014133666518195594,0.11888509796520165
gyro_attr_y,0.014689628401273672,-3.2815018,5.223017,0.03176499,0.10789832272443121,7.34520436984477,2.1976632668092084,181.70597807590417,0.011857809078893066,0.10889356766537253
gyro_attr_z,-0.013045817889397767,-2.7404609,2.8515322,-0.0021380284,0.08137711362633127,-6.23779316224135,-0.4361996767267611,193.68042720939127,0.006792414249304215,0.08241610430798228
mag_attr_x,13.295118650220722,-46.243,48.223,10.899,14.779790738989519,1.1116704655166163,-0.011497171727245752,-0.7172215277124239,395.2019410723204,19.879686644218523
mag_attr_y,3.021926399814133,-60.101,28.735,9.783,18.843636017403718,6.235636982609079,-0.7119847366399631,-0.5848025564285582,364.2139209341622,19.084389456677997
mag_attr_z,-33.47335705839888,-61.952,48.039,-38.018,11.084707220723939,-0.3311501502937139,2.3136176185436863,7.657482431953515,1243.3361120435395,35.26097151304172
label,3.0,3.0,3.0,3.0,0.0,0.0,,,9.0,3.0
